t_s,force_normal_N,force_filtered_N,force_measured_N,force_desired_N,penetration_mm,ee_z_m,cmd_z_m,ee_z_velocity_mps,closing_velocity_mps,phase
0.157,0,0.0175826628391446,0,14.5,0,0.123815973051278,0.105947551652893,-0.335928016491957,0.335928016491957,approach
0.158,0,0.0173874310887376,0.0162160405862956,14.5,0,0.123479428129923,0.105642479338843,-0.336475048901407,0.336475048901407,approach
0.159,0,0.0149035123617751,0,14.5,0,0.123142387169964,0.105340382231405,-0.336971511135393,0.336971511135393,approach
0.16,0,0.0198894207811694,0.0498048712975351,14.5,0,0.122804900977314,0.10504132231405,-0.337417202156393,0.337417202156393,approach
0.161,0,0.0259842868028083,0.0625534829326419,14.5,0,0.122467020552558,0.104745361570248,-0.3378119272031,0.3378119272031,approach
0.162,0,0.0244814568198853,0.0154644769223471,14.5,0,0.122128797084831,0.104452561983471,-0.338155497608203,0.338155497608203,approach
0.163,0,0.0246036628322314,0.025336898906308,14.5,0,0.121790281945884,0.10416298553719,-0.338447730614941,0.338447730614941,approach
0.164,0,0.0210888538561983,0,14.5,0,0.121451526684321,0.103876694214876,-0.33868844919252,0.33868844919252,approach
0.165,0,0.01807616044817,0,14.5,0,0.121112583020041,0.10359375,-0.338877481850498,0.338877481850498,approach
0.166,0,0.0154938518127171,0,14.5,0,0.120773502838848,0.103314214876033,-0.33901466245223,0.33901466245223,approach
0.167,0,0.0158464280190752,0.0179618852572234,14.5,0,0.120434338187263,0.103038150826446,-0.339099830027493,0.339099830027493,approach
0.168,0,0.0135826525877787,0,14.5,0,0.120095141267512,0.102765619834711,-0.339132828584361,0.339132828584361,approach
0.169,0,0.0192579685617258,0.053309864405408,14.5,0,0.11975596443271,0.102496683884298,-0.339113506920449,0.339113506920449,approach
0.17,0,0.0165068301957649,0,14.5,0,0.119416860182236,0.102231404958678,-0.339041718433617,0.339041718433617,approach
0.171,0,0.0141487115963699,0,14.5,0,0.119077881157289,0.101969845041322,-0.338917320932226,0.338917320932226,approach
0.172,0,0.0121274670826028,0,14.5,0,0.118739080136645,0.101712066115702,-0.338740176445048,0.338740176445048,approach
0.173,0,0.0157706190324795,0.0376295307317393,14.5,0,0.118400510032595,0.101458130165289,-0.338510151030915,0.338510151030915,approach
0.174,0,0.0257675895415484,0.0857494125959619,14.5,0,0.118062223887081,0.101208099173554,-0.338227114588219,0.338227114588219,approach
0.175,0,0.0255325724783359,0.0241224700990609,14.5,0,0.117724274868016,0.100962035123967,-0.337890940664332,0.337890940664332,approach
0.176,0,0.0218850621242879,0,14.5,0,0.1173867162658,0.10072,-0.337501506265052,0.337501506265052,approach
0.177,0,0.0272942521417405,0.0597493922464562,14.5,0,0.117049601490025,0.100482055785124,-0.337058691664164,0.337058691664164,approach
0.178,0,0.023395073264349,0,14.5,0,0.11671298406637,0.10024826446281,-0.3365623802132,0.3365623802132,approach
0.179,0,0.0256500827468869,0.0391801396421141,14.5,0,0.116376917633685,0.100018688016529,-0.336012458151494,0.336012458151494,approach
0.18,0,0.0237247572498246,0.0121728042674513,14.5,0,0.116041455941265,0.0997933884297521,-0.335408814416603,0.335408814416603,approach
0.181,0,0.0203355062141354,0,14.5,0,0.115706652846319,0.0995724276859504,-0.334751340455197,0.334751340455197,approach
0.182,0,0.017530688310115,0.000701780885992809,14.5,0,0.115372562311617,0.099355867768595,-0.334039930034493,0.334039930034493,approach
0.183,0,0.0180814461489178,0.0213859931817344,14.5,0,0.115039238403337,0.099143770661157,-0.33327447905431,0.33327447905431,approach
0.184,0,0.0154983824133581,0,14.5,0,0.114706735289088,0.0989361983471074,-0.33245488535984,0.33245488535984,approach
0.185,0,0.0198291213806627,0.0458135551844901,14.5,0,0.114375107236132,0.0987332128099174,-0.331581048555193,0.331581048555193,approach
0.186,0,0.0169963897548537,0,14.5,0,0.114044408609778,0.0985348760330579,-0.330652869817819,0.330652869817819,approach
0.187,0,0.0191895772846876,0.0323487024636906,14.5,0,0.113714693871974,0.09834125,-0.32967025171386,0.32967025171386,approach
0.188,0,0.0199820695501185,0.024737023142704,14.5,0,0.113386017580076,0.0981523966942149,-0.328633098014519,0.328633098014519,approach
0.189,0,0.0171274881858158,0,14.5,0,0.113058434385798,0.0979683780991736,-0.327541313513514,0.327541313513514,approach
0.19,0,0.0170930224641175,0.0168862281339276,14.5,0,0.11273199903435,0.0977892561983471,-0.326394803845687,0.326394803845687,approach
0.191,0,0.0146511621121007,0,14.5,0,0.112406766363754,0.0976150929752066,-0.325193475306842,0.325193475306842,approach
0.192,0,0.0214834210461053,0.0624769746501328,14.5,0,0.112082791304334,0.0974459504132232,-0.32393723467487,0.32393723467487,approach
0.193,0,0.0190302619048258,0.00431130705714876,14.5,0,0.111760128878393,0.0972818904958678,-0.322625989032231,0.322625989032231,approach
0.194,0,0.0163116530612793,0,14.5,0,0.11143883420006,0.0971229752066116,-0.321259645589863,0.321259645589863,approach
0.195,0,0.0231574314186785,0.0642321015630739,14.5,0,0.111118962475314,0.0969692665289256,-0.31983811151256,0.31983811151256,approach
0.196,0,0.0198492269302959,0,14.5,0,0.11080056900218,0.096820826446281,-0.318361293745901,0.318361293745901,approach
0.197,0,0.0182986761849976,0.00899537171320778,14.5,0,0.110483709171102,0.0966777169421488,-0.316829098844771,0.316829098844771,approach
0.198,0,0.0156845795871408,0,14.5,0,0.110168438465477,0.09654,-0.315241432803532,0.315241432803532,approach
0.199,0,0.0134439253604064,0,14.5,0,0.109854812462369,0.0964077376033058,-0.313598200887902,0.313598200887902,approach
0.2,0,0.0176636977841568,0.0429823323266592,14.5,0,0.109542886833379,0.0962809917355372,-0.311899307468597,0.311899307468597,approach
0.201,0,0.0166293587139502,0.0104233242927108,14.5,0,0.109232717345685,0.0961598243801653,-0.310144655856761,0.310144655856761,approach
0.202,0,0.0242139712821612,0.069721646691427,14.5,0,0.10892435986325,0.0960442975206612,-0.308334148141262,0.308334148141262,approach
0.203,0,0.0234974011964683,0.019197980682311,14.5,0,0.10861787034818,0.0959344731404959,-0.306467685027884,0.306467685027884,approach
0.204,0,0.0201406295969728,0,14.5,0,0.10831330486225,0.0958304132231405,-0.304545165680445,0.304545165680445,approach
0.205,0,0.0309277970660295,0.0956508018803695,14.5,0,0.108010719568588,0.0957321797520661,-0.302566487563908,0.302566487563908,approach
0.206,0,0.026509540342311,0,14.5,0,0.107710170733503,0.0956398347107438,-0.300531546289503,0.300531546289503,approach
0.207,0,0.0227224631505523,0,14.5,0,0.107411714728484,0.0955534400826446,-0.298440235461898,0.298440235461898,approach
0.208,0,0.0225883110721506,0.0217833986017408,14.5,0,0.107115408032333,0.0954730578512397,-0.296292446528464,0.296292446528464,approach
0.209,0,0.0193614094904148,0,14.5,0,0.106821307233462,0.09539875,-0.294088068630651,0.294088068630651,approach
0.21,0,0.016595493848927,0,14.5,0,0.106529469032321,0.0953305785123967,-0.291826988457518,0.291826988457518,approach
0.211,0,0.0231144941146956,0.0622284957093069,14.5,0,0.106239950243988,0.0952686053719008,-0.289509090101431,0.289509090101431,approach
0.212,0,0.0198124235268819,0,14.5,0,0.105952807800886,0.0952128925619835,-0.287134254915962,0.287134254915962,approach
0.213,0,0.0275560776645865,0.074018002490814,14.5,0,0.105668098755653,0.0951635020661157,-0.28470236137601,0.28470236137601,approach
0.214,0,0.0265427480983234,0.0204627707007445,14.5,0,0.105385880284142,0.0951204958677686,-0.282213284940167,0.282213284940167,approach
